Team,League,player,Substitution,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,value,nationality,position,squad,goals,goals_per_shot,passes_completed,assisted_shots,passes_blocked,touches,height,assists,games_starts,minutes
41,Bundesliga,Andrej Kramaric,0,0.91,23,14,4.54,2.77,32000000,hr CRO,"FW,MF",Hoffenheim,12,0.25,445,23,15,719,177,2,14,1422
42,Bundesliga,Niclas Fullkrug,1,0.98,13,7,4.22,2.27,3000000,de GER,FW,Werder Bremen,4,0.22,79,4,8,174,189,1,4,403
43,Bundesliga,Lars Stindl,2,0.59,19,9,3.18,1.51,6000000,de GER,"MF,FW",M'Gladbach,9,0.22,616,27,21,948,181,3,14,1432
44,Bundesliga,Daniel Caligiuri,0,0.09,11,5,1.24,0.56,4000000,it ITA,"MF,FW",Schalke 04,2,0.02,637,39,80,1422,182,2,26,2293
45,Bundesliga,Jhon Cordoba,2,0.43,18,5,3.47,0.96,9000000,co COL,FW,KŽ???ln,13,0.2,320,20,15,738,188,2,23,1998
46,Bundesliga,Nils Petersen,3,0.33,15,7,2.34,1.09,6000000,de GER,"FW,MF",Freiburg,11,0.18,332,32,24,818,188,2,24,2436
47,Bundesliga,Matheus Cunha,0,0.38,26,15,2.88,1.66,13000000,br BRA,"FW,MF",Hertha BSC,6,0.17,121,7,4,315,184,0,9,744
48,Bundesliga,Matheus Cunha,0,0.38,26,15,2.88,1.66,13000000,br BRA,"FW,MF",RB Leipzig,0,0,74,3,1,156,184,1,2,279
49,Bundesliga,Robert Lewandowski,1,1.1,35,17,4.95,2.4,56000000,pl POL,FW,Bayern Munich,34,0.22,592,37,40,1203,185,4,31,2759
50,France Ligue 18,Ludovic Blas,1,0.18,19,7,1.82,0.67,8000000,fr FRA,"FW,MF",Nantes,5,0.11,540,24,23,978,180,1,22,1845
51,France Ligue 12,Stephane Bahoken,2,0.52,30,14,4.43,2.07,4000000,cm CMR,FW,Angers,4,0.15,150,10,6,341,185,0,10,907
52,France Ligue 10,Kevin Volland,1,0.46,12,11,1.61,1.47,28000000,de GER,FW,Leverkusen,10,0.13,429,34,36,881,179,7,24,2047
53,France Ligue 3,Andy Delort,0,0.44,31,14,3.26,1.47,10000000,dz ALG,FW,Montpellier,9,0.11,451,36,46,1117,182,3,26,2280
54,France Ligue 5,Ibrahima Niane,0,0.68,21,9,4.14,1.77,3000000,sn SEN,FW,Metz,3,0.07,204,9,9,468,187,0,9,951
55,France Ligue 2,Boulaye Dia,1,0.65,25,12,3.08,1.48,4000000,sn SEN,FW,Reims,7,0.15,251,23,12,579,180,1,21,1812
56,France Ligue 20,Moise Kean,0,0.67,14,5,2.93,1.05,25000000,it ITA,FW,Everton,2,0.07,104,8,11,275,183,2,6,852
57,Ligue 1,Ignatius Ganago,3,0.7,14,7,2.94,1.47,3000000,cm CMR,"FW,MF",Nice,3,0.18,283,11,16,521,179,1,12,1239
58,Ligue 1,Irvin Cardona,5,0.41,21,8,3.18,1.21,4000000,fr FRA,"FW,MF",Brest,6,0.12,290,17,19,666,185,3,15,1450
59,Ligue 1,Florian Thauvin,0,0.34,21,8,2.39,0.91,32000000,fr FRA,FW,Marseille,0,0,12,0,0,22,179,0,0,22
60,Ligue 1,Amine Gouiri,2,0.35,26,10,2.74,1.05,4000000,fr FRA,FW,Lyon,0,0,0,0,0,0,180,0,0,1
61,Ligue 1,Jonathan Bamba,1,0.15,25,9,2.24,0.81,16000000,fr FRA,"FW,MF",Lille,1,0,669,35,29,1110,175,4,22,1937
62,Ligue 1,Ludovic Ajorque,0,0.34,17,8,1.6,0.75,6000000,re REU,FW,Strasbourg,8,0.16,371,14,12,755,197,4,24,2058
63,Ligue 1,Memphis Depay,3,0.5,30,10,3.16,1.05,44000000,nl NED,"FW,MF",Lyon,9,0.17,368,22,13,640,176,2,12,1018
64,Ligue 1,Gael Kakuta,1,0.5,18,6,2.18,0.73,2000000,cd COD,"MF,FW",Amiens,2,0.05,592,28,46,1211,173,5,23,2001
65,Ligue 1,James Ward-Prowse,0,0.07,10,7,0.99,0.69,14000000,eng ENG,"MF,DF",Southampton,5,0.07,1458,61,41,2399,177,3,38,3420
66,Ligue 1,Bruno Fernandes,0,0.64,30,14,3.52,1.64,48000000,pt POR,MF,Manchester Utd,8,0.1,608,34,39,1000,179,7,14,1186
67,Ligue 1,Dominic Calvert-Lewin,0,0.72,32,18,3.23,1.82,24000000,eng ENG,FW,Everton,13,0.16,393,15,25,973,187,1,30,2626
68,Ligue 1,Timo Werner,0,0.4,23,10,2.49,1.08,64000000,de GER,FW,RB Leipzig,28,0.21,764,53,65,1455,181,8,33,2795
69,Ligue 1,Callum Wilson,0,0.74,18,8,2.05,0.91,24000000,eng ENG,FW,Bournemouth,8,0.15,345,25,47,881,180,1,32,2908
70,Ligue 1,Diogo Jota,3,0.45,20,11,3.58,1.97,40000000,pt POR,"FW,MF",Wolves,7,0.1,681,32,47,1248,178,1,27,2284
71,Ligue 1,Wilfried Zaha,0,0.53,18,7,2.2,0.85,44000000,ci CIV,"MF,FW",Crystal Palace,4,0.07,935,36,72,1859,180,3,37,3280
72,Premier League,Jack Grealish,0,0.31,26,9,2.83,0.98,30000000,eng ENG,"FW,MF",Aston Villa,8,0.11,1217,92,50,2029,180,6,36,3233
73,Premier League,Jarrod Bowen,0,0.33,22,5,2.47,0.56,16000000,eng ENG,FW,West Ham,1,0.04,188,14,16,421,175,4,11,917
74,Premier League,Mohamed Salah,0,0.7,35,15,4,1.71,120000000,eg EGY,FW,Liverpool,19,0.12,746,54,47,1405,175,10,33,2876
75,Premier League,Jamie Vardy,1,1.06,21,15,2.56,1.83,16000000,eng ENG,FW,Leicester City,23,0.22,314,28,28,734,179,5,34,3033
76,Premier League,Harry Kane,0,0.66,39,15,3.88,1.49,120000000,eng ENG,FW,Tottenham,18,0.21,394,24,33,923,188,2,29,2587
77,Premier League,Neal Maupay,0,0.79,25,11,3.02,1.33,17000000,fr FRA,FW,Brighton,10,0.1,540,26,33,1063,173,3,30,2766
78,Premier League,Sadio Mane,1,0.59,27,13,3.27,1.57,120000000,sn SEN,FW,Liverpool,18,0.24,933,56,50,1590,174,7,31,2747
79,Premier League,Riyad Mahrez,0,0.3,21,10,3.26,1.55,48000000,dz ALG,FW,Manchester City,11,0.14,1009,58,27,1476,179,9,21,1944
